Wert;Bedeutung
1;Mitte 
2;Tiergarten 
3;Wedding
5;Friedrichshain
6;Kreuzberg
4;Prenzlauer Berg 
545;Weißensee 
560;Pankow
7;Charlottenburg 
30;Wilmersdorf 
31;Grunewald-Forst 
32;Schmargendorf
10;Spandau 
11;Eiswerder 
12;Gatow
13;Gewehrplan und Pulverfabrik 
14;Groß-Glienicke
15;Haselhorst 
16;Heerstraße 
17;Kladow 
18;Klosterfelde 
19;Pichelsdorf 
20;Pichelswerder 
21;Seeburg 
22;Tiefwerder 
23;Teufelsbruch 
24;Staaken 
25;Zitadelle
35;Zehlendorf
36;Dahlem 
37;Wannsee 
38;Düppel 
39;Nikolassee
40;Schwanenwerder
50;Steglitz 
51;Lankwitz 
52;Lichterfelde
45;Schöneberg 
46;Friedenau 
55;Tempelhof 
56;Mariendorf 
57;Marienfelde 
58;Lichtenrade
60;Neukölln 
61;Britz 
62;Buckow 
63;Rudow
500;Treptow
501;Bohnsdorf
502;Britz (in Treptow) 
503;Buckow (in Treptow) 
504;Glienicke
505;Grünau (in Treptow) 
506;Johannisthal
507;Kanne (in Treptow) 
508;Neukölln (in Treptow) 
509;Rudow (in Treptow) 
515;Köpenick 
517;Schmöckwitz
521;Grünau 
522;Oberschöneweide 
526;Fahlenberg
527;Kanne
570;Marzahn
571;Falkenberg Gemeinde 
572;Falkenberg Gut 
573;Friedrichsfelde (in Marzahn) 
575;Biesdorf
576;Köpenick (in Marzahn) 
577;Ahrensfelde 
590;Hellersdorf
591;Köpenick (in Hellersdorf) 
592;Kaulsdorf
593;Mahlsdorf
594;Dahlwitz
530;Lichtenberg 
580;Hohenschönhausen
581;Falkenberg Gemeinde (in Hohenschönhausen)
582;Falkenberg Gut (in Hohenschönhausen)
583;Malchow Gemeinde 
584;Malchow Gut 
585;Wartenberg Gemeinde 
586;Wartenberg Gut
587;Weißensee (in Hohenschönhausen)
65;Reinickendorf 
66;Heiligensee
67;Frohnau 
68;Hermsdorf 
69;Lübars
70;Tegel Gemeinde 
71;Wittenau
72;Wilhelmsruh 
73;Tegel Forst 
74;Tegel Gut 
75;Schulzendorf 
76;Valentinswerder
