Wert;Bedeutung
100;City
101;Zentrale Geschäftslage
102;City-Randlage
110;Nebenzentrum
111;Überregionales Nebenzentrum
112;Regionales Zentrum
120;Einfache Geschäftslage
130;Stadtlage mit vorwiegend gewerblichen Strukturen
131;Überwiegend Dienstleistung
132;Industrielagen
140;Wohnbaugebiete Geschoßwohnungsbau
141;Altbebauung 1870-1914
142;Bebauung 20er/30er Jahre
143;Bebauung 50er/60er Jahre
144;Bebauung 70er bis 90er Jahre
145;Mischstrukturen Wohnen
150;Ein- und Zweifamilienhausgebiete
151;Exponiertes Gebiet
152;Villenartige Wohnbebauung
153;Mittlere Gebietsstruktur
154;Einfache Gebietsstruktur
155;Reichsheimstättensiedlung
160;Gemischte Bau- und Nutzungsstrukturen
170;Ländlicher Bereich
171;Dorflage
172;Einzellage im Außenbereich
173;Land- und forstwirtschaftliche Lage
